Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8041163946061036,0.6644295302013423,0.5294117647058824,0.5892857142857143,0.8464103955152549
Random Forest,0.7629524485450674,0.5471698113207547,0.6203208556149733,0.581453634085213,0.8215402102870133
